rowid,user,ts,ts converted,new ts,,channel,text,agreeableness,conscientiousness,extraversion,openness,adventurer,advocate,architect,campaigner,commander,consul,debater,defender,entertainer,entrepreneur,executive,logician,logistician,mediator,protagonist,virtuoso,anger,fear,joy,sadness,surprise,final_sentiment
34,U0X6CUQ3D,1/04/2016 12:44,2/04/2016 10:31,2/04/2016 10:31,21,General,hey hey,0.510496632,0.342147988,0.595294554,0.552269207,0.089456784,0.025230458,0.021031006,0.115676961,0.03043844,0.040871088,0.096423257,0.028239296,0.129471928,0.107922139,0.03406835,0.066622276,0.023539043,0.079925348,0.036516358,0.074567265,0.172078669,0.200544089,0.185983047,0.141014338,0.300379932,0.624748051
35,U0X6CUQ3D,1/04/2016 12:45,2/04/2016 10:32,2/04/2016 10:32,21,General,hey,0.510496632,0.342147988,0.595294554,0.552269207,0.089456784,0.025230458,0.021031006,0.115676961,0.03043844,0.040871088,0.096423257,0.028239296,0.129471928,0.107922139,0.03406835,0.066622276,0.023539043,0.079925348,0.036516358,0.074567265,0.186769068,0.212713897,0.202709734,0.158597767,0.239209533,0.690995991
36,U0X6CUQ3D,1/04/2016 12:45,2/04/2016 10:32,2/04/2016 10:32,21,General,term,0.269839807,0.395937133,0.748634878,0.465284071,0.006178106,0.001313983,0.004773797,0.056091327,0.072176127,0.033083277,0.20378398,0.002188159,0.093408198,0.339358963,0.120194018,0.013478464,0.007949745,0.003709933,0.019866403,0.02244552,0.18407166,0.226795882,0.223751307,0.159071952,0.206309125,0.502823055
37,U0X6CUQ3D,1/04/2016 12:45,2/04/2016 10:33,2/04/2016 10:33,21,General,want seperate learning part actual discussion around,0.360654986,0.334440167,0.626146875,0.609827458,0.040150863,0.012465932,0.023811429,0.10177574,0.049245492,0.021034752,0.194403907,0.01017083,0.083037813,0.158612212,0.040178906,0.09399916,0.019427508,0.04921112,0.025781356,0.076692978,0.312720269,0.21956405,0.075743265,0.227427781,0.164544582,0.602381706
38,U0X6CUQ3D,1/04/2016 12:46,2/04/2016 10:33,2/04/2016 10:33,21,General,talk random stuff,0.57210307,0.416054253,0.580611709,0.346920886,0.141760969,0.016011904,0.009027081,0.051156306,0.013349048,0.097030067,0.028840551,0.065615041,0.209632976,0.118185439,0.054702945,0.019502964,0.036991997,0.034593639,0.023678049,0.079921025,0.3691248,0.19722347,0.124722868,0.166948378,0.141980499,0.249519557
39,U0X6CUQ3D,1/04/2016 12:46,2/04/2016 10:34,2/04/2016 10:34,21,General,another one maybe uni work subject generally,0.425250684,0.557012443,0.593997981,0.20714069,0.057067971,0.003997622,0.00531525,0.011117642,0.013875368,0.139837326,0.01478205,0.053567614,0.148974948,0.198077536,0.185928121,0.005662573,0.071223659,0.004258845,0.010435723,0.075877745,0.455396771,0.188731998,0.146783307,0.180575788,0.028512157,0.391638607
40,U0X6CUQ3D,1/04/2016 12:46,2/04/2016 10:34,2/04/2016 10:34,21,General,maybe something interesting different type convos,0.720218256,0.296161525,0.72924174,0.596528284,0.065993659,0.032640729,0.008496685,0.23312006,0.024048071,0.074019115,0.060683315,0.026152497,0.186781108,0.048620855,0.019267865,0.02144068,0.006807738,0.082366177,0.092382687,0.017178762,0.129306704,0.304358989,0.04328309,0.060019229,0.463031948,0.088018797
41,U0X6CUQ3D,1/04/2016 12:53,2/04/2016 10:40,2/04/2016 10:40,21,General,export,0.284316458,0.449681274,0.550593421,0.733176998,0.007274505,0.027728544,0.116408676,0.054432322,0.175746058,0.008446449,0.228515223,0.005594663,0.010982563,0.046106483,0.035459485,0.151361315,0.023487252,0.036054262,0.041862708,0.030539488,0.19715023,0.223438695,0.215144292,0.165698692,0.198568106,0.575498462
42,U0X6CUQ3D,1/04/2016 13:01,2/04/2016 10:49,2/04/2016 10:49,21,General,duhita cool work jira,0.543767764,0.452955165,0.601776686,0.466700815,0.064518777,0.037540869,0.029254323,0.087221353,0.05274809,0.090281967,0.067968635,0.050070776,0.116332971,0.090654329,0.070353672,0.037695703,0.039018453,0.048373345,0.067689454,0.050277289,0.18091318,0.191545427,0.20347017,0.136896029,0.287175179,0.926626503
43,U0X6CUQ3D,1/04/2016 13:01,2/04/2016 10:49,2/04/2016 10:49,21,General,anyone else need help jira certified scrum master agile coach work simple smile,0.311920999,0.535097901,0.494702224,0.349419873,0.051801952,0.013632819,0.034512056,0.02338045,0.045077157,0.051528834,0.059188593,0.039451601,0.067659972,0.171284069,0.130447403,0.04531608,0.09987339,0.017900583,0.017806205,0.131138825,0.097220689,0.065649286,0.697706699,0.105875194,0.033548091,0.859059691
44,U0X6CUQ3D,1/04/2016 13:06,2/04/2016 10:53,2/04/2016 10:53,21,General,create different discussion around different crisp dm task break,0.464211276,0.356576533,0.535808207,0.663369687,0.058326075,0.043334932,0.049004877,0.109971277,0.049058359,0.023033982,0.124359924,0.023008871,0.058389729,0.066029444,0.026047749,0.124224351,0.026019353,0.109851389,0.043382226,0.065957461,0.18904078,0.236210793,0.346348584,0.161208406,0.067191392,0.584977984
45,U0WEAA087,2/04/2016 1:16,2/04/2016 23:03,2/04/2016 23:03,21,General,hey martin yeah think definitely good idea create different otherwise discussion might get bit confusing,0.535440894,0.383659888,0.61531187,0.545919131,0.067499638,0.034370694,0.027115484,0.118835628,0.047120365,0.058955679,0.093750962,0.033926133,0.117298573,0.092538359,0.046510894,0.05394913,0.026764764,0.068384138,0.059728221,0.053251336,0.255308211,0.256893903,0.112975873,0.116549887,0.258272171,0.518995941
46,U0WEAA087,2/04/2016 1:17,2/04/2016 23:05,2/04/2016 23:05,21,General,could probably start dedicated subject e g stats data algorithm meaning,0.395313981,0.423562911,0.332020181,0.616836472,0.09052921,0.058430517,0.086927989,0.033634215,0.022793722,0.010813303,0.050038146,0.041238491,0.023738012,0.035315409,0.01608712,0.19082954,0.061351145,0.128270177,0.01532129,0.134681715,0.314988881,0.308141351,0.19919154,0.161814004,0.015864229,0.591601253
47,U0WEAA087,2/04/2016 1:18,2/04/2016 23:06,2/04/2016 23:06,21,General,used jira would love help future,0.588935838,0.386055238,0.696813182,0.545351736,0.043417318,0.029727396,0.018893358,0.150602695,0.059108232,0.083881222,0.095716108,0.026811798,0.135831911,0.086328481,0.053311028,0.030594701,0.017040339,0.048138652,0.093002726,0.02759404,0.045432709,0.079169706,0.446752191,0.092309177,0.336336195,0.772908926
48,U0X443CKZ,2/04/2016 20:41,3/04/2016 18:29,3/04/2016 18:29,21,General,way automate use api program chance try make code meantime load photo one one copy paste result excel photo day take much time effort could use api much wider dataset,0.277532078,0.452387276,0.512834521,0.600313304,0.02414985,0.021632952,0.078280226,0.045630936,0.09669273,0.017468449,0.165118469,0.014142058,0.029830202,0.107942498,0.063210703,0.133676142,0.051173943,0.036941764,0.026721298,0.087387781,0.800490618,0.083563067,0.039051559,0.072172336,0.004722416,0.192736849
